seed,method,minU,gap,pidist,pirms,spear,topk,ndcg,mse,auc,time
35,SGHMC,361.40956059044277,18.571822530477846,5.1505944423197745,0.16287609741535236,0.5912199272199272,0.7689594356261023,0.7988194042874388,2.0729821327041655,0.8026402075670744,0.29732465744018555
35,AWSGLD,343.8390253384837,1.0012872785187596,0.3049886928317104,0.009644589299456736,0.8592041592041593,0.8783068783068783,0.9006317123104028,1.9743995365079743,0.9537250876742794,0.7078497409820557
36,SGLD,636.6505430389437,299.7409053106095,7.838157265878184,0.24786429618773048,-0.027412371412371416,0.5234521575984991,0.5405780702236557,3.1045560928913836,0.4896087356525023,0.2974584102630615
36,qSGLD,338.6119161890383,1.7022784607040649,0.4030470934972313,0.012745468197620907,0.8656322776322777,0.8574108818011257,0.8832492003346263,2.0632126996865736,0.9498415096158868,0.5212202072143555
36,cycSGLD,342.09280486790016,5.18316713956591,3.1927168083301023,0.10096257038226371,0.8328639048639049,0.8555347091932458,0.8755514523428691,1.93827565299298,0.9334581436738432,0.29950666427612305
36,SGHMC,355.4964509833284,18.586813254994127,4.843470529877135,0.15316398654314364,0.33045999045999047,0.6416510318949343,0.6766862058768849,2.294487083623396,0.6802752791158286,0.3008120059967041
36,AWSGLD,337.92819436260345,1.0185566342692027,0.3191998127662352,0.01009398437040595,0.8684451284451286,0.8611632270168855,0.8861100818212759,2.0576957424511413,0.9516534022200706,0.7142488956451416
37,SGLD,630.8055858854449,293.8942595476283,7.809030415771981,0.2469432243137113,0.08211543411543412,0.570902394106814,0.5697464948347302,2.7815677714323783,0.5468605808560111,0.29781079292297363
37,qSGLD,338.54725853186767,1.6359321940510654,0.39843900219868805,0.012599747555926908,0.8741739341739343,0.8674033149171271,0.8917497561324963,1.986292649208106,0.9529721822599949,0.5179793834686279
37,cycSGLD,342.02520235141753,5.11387601360093,3.384808119126008,0.10703703099068726,0.8526820086820088,0.8784530386740331,0.8972796949558197,1.7328406762600732,0.9469798630672452,0.29820919036865234
37,SGHMC,354.5040653468834,17.592739009066804,4.907053624852698,0.15517466055119952,0.6483362523362524,0.7679558011049724,0.7995150720355514,1.9479253627019433,0.8376875370238283,0.29920506477355957
